# Pinned wire ABI through each InterfaceSpec source_version.
# Sorted: interface kind opcode name signature destructor argument-interface-list
# A dash denotes an empty signature/type list or a primitive argument type.
wl_display event 1 delete_id u false -
wl_display request 0 sync n false wl_callback
wl_display request 1 get_registry n false wl_registry
wl_keyboard event 0 keymap uhu false -,-,-
wl_keyboard event 1 enter uoa false -,wl_surface,-
wl_keyboard event 2 leave uo false -,wl_surface
wl_keyboard event 3 key uuuu false -,-,-,-
wl_keyboard event 4 modifiers uuuuu false -,-,-,-,-
wl_keyboard event 5 repeat_info 4ii false -,-
wl_keyboard request 0 release 3 true -
wl_output event 0 geometry iiiiissi false -,-,-,-,-,-,-,-
wl_output event 1 mode uiii false -,-,-,-
wl_output event 2 done 2 false -
wl_output event 3 scale 2i false -
wl_output event 4 name 4s false -
wl_output event 5 description 4s false -
wl_output request 0 release 3 true -
wl_pointer event 0 enter uoff false -,wl_surface,-,-
wl_pointer event 1 leave uo false -,wl_surface
wl_pointer event 10 axis_relative_direction 9uu false -,-
wl_pointer event 2 motion uff false -,-,-
wl_pointer event 3 button uuuu false -,-,-,-
wl_pointer event 4 axis uuf false -,-,-
wl_pointer event 5 frame 5 false -
wl_pointer event 6 axis_source 5u false -
wl_pointer event 7 axis_stop 5uu false -,-
wl_pointer event 8 axis_discrete 5ui false -,-
wl_pointer event 9 axis_value120 8ui false -,-
wl_pointer request 0 set_cursor u?oii false -,wl_surface,-,-
wl_pointer request 1 release 3 true -
wl_region request 0 destroy - true -
wl_region request 1 add iiii false -,-,-,-
wl_region request 2 subtract iiii false -,-,-,-
wl_registry event 0 global usu false -,-,-
wl_registry event 1 global_remove u false -
wl_registry request 0 bind usun false -,-,-,-
wl_seat event 0 capabilities u false -
wl_seat event 1 name 2s false -
wl_seat request 0 get_pointer n false wl_pointer
wl_seat request 1 get_keyboard n false wl_keyboard
wl_seat request 2 get_touch n false wl_touch
wl_seat request 3 release 5 true -
wl_shm event 0 format u false -
wl_shm request 0 create_pool nhi false wl_shm_pool,-,-
wl_shm request 1 release 2 true -
wl_shm_pool request 0 create_buffer niiiiu false wl_buffer,-,-,-,-,-
wl_shm_pool request 1 destroy - true -
wl_shm_pool request 2 resize i false -
wl_subcompositor request 0 destroy - true -
wl_subcompositor request 1 get_subsurface noo false wl_subsurface,wl_surface,wl_surface
wl_subsurface request 0 destroy - true -
wl_subsurface request 1 set_position ii false -,-
wl_subsurface request 2 place_above o false wl_surface
wl_subsurface request 3 place_below o false wl_surface
wl_subsurface request 4 set_sync - false -
wl_subsurface request 5 set_desync - false -
wl_surface event 0 enter o false wl_output
wl_surface event 1 leave o false wl_output
wl_surface event 2 preferred_buffer_scale 6i false -
wl_surface event 3 preferred_buffer_transform 6u false -
wl_surface request 0 destroy - true -
wl_surface request 1 attach ?oii false wl_buffer,-,-
wl_surface request 10 offset 5ii false -,-
wl_surface request 2 damage iiii false -,-,-,-
wl_surface request 3 frame n false wl_callback
wl_surface request 4 set_opaque_region ?o false wl_region
wl_surface request 5 set_input_region ?o false wl_region
wl_surface request 6 commit - false -
wl_surface request 7 set_buffer_transform 2i false -
wl_surface request 8 set_buffer_scale 3i false -
wl_surface request 9 damage_buffer 4iiii false -,-,-,-
wl_touch event 0 down uuoiff false -,-,wl_surface,-,-,-
wl_touch event 1 up uui false -,-,-
wl_touch event 2 motion uiff false -,-,-,-
wl_touch event 3 frame - false -
wl_touch event 4 cancel - false -
wl_touch event 5 shape 6iff false -,-,-
wl_touch event 6 orientation 6if false -,-
wl_touch request 0 release 3 true -
wp_cursor_shape_device_v1 request 0 destroy - true -
wp_cursor_shape_device_v1 request 1 set_shape uu false -,-
wp_cursor_shape_manager_v1 request 0 destroy - true -
wp_cursor_shape_manager_v1 request 1 get_pointer no false wp_cursor_shape_device_v1,wl_pointer
wp_cursor_shape_manager_v1 request 2 get_tablet_tool_v2 no false wp_cursor_shape_device_v1,zwp_tablet_tool_v2
wp_fractional_scale_manager_v1 request 0 destroy - true -
wp_fractional_scale_manager_v1 request 1 get_fractional_scale no false wp_fractional_scale_v1,wl_surface
wp_fractional_scale_v1 event 0 preferred_scale u false -
wp_fractional_scale_v1 request 0 destroy - true -
wp_presentation event 0 clock_id u false -
wp_presentation request 0 destroy - true -
wp_presentation request 1 feedback on false wl_surface,wp_presentation_feedback
wp_presentation_feedback event 0 sync_output o false wl_output
wp_presentation_feedback event 1 presented uuuuuuu true -,-,-,-,-,-,-
wp_presentation_feedback event 2 discarded - true -
wp_viewport request 0 destroy - true -
wp_viewport request 1 set_source ffff false -,-,-,-
wp_viewport request 2 set_destination ii false -,-
wp_viewporter request 0 destroy - true -
wp_viewporter request 1 get_viewport no false wp_viewport,wl_surface
xdg_activation_token_v1 event 0 done s false -
xdg_activation_token_v1 request 0 set_serial uo false -,wl_seat
xdg_activation_token_v1 request 1 set_app_id s false -
xdg_activation_token_v1 request 2 set_surface o false wl_surface
xdg_activation_token_v1 request 3 commit - false -
xdg_activation_token_v1 request 4 destroy - true -
xdg_activation_v1 request 0 destroy - true -
xdg_activation_v1 request 1 get_activation_token n false xdg_activation_token_v1
xdg_activation_v1 request 2 activate so false -,wl_surface
xdg_popup event 0 configure iiii false -,-,-,-
xdg_popup event 1 popup_done - false -
xdg_popup event 2 repositioned 3u false -
xdg_popup request 0 destroy - true -
xdg_popup request 1 grab ou false wl_seat,-
xdg_popup request 2 reposition 3ou false xdg_positioner,-
xdg_positioner request 0 destroy - true -
xdg_positioner request 1 set_size ii false -,-
xdg_positioner request 2 set_anchor_rect iiii false -,-,-,-
xdg_positioner request 3 set_anchor u false -
xdg_positioner request 4 set_gravity u false -
xdg_positioner request 5 set_constraint_adjustment u false -
xdg_positioner request 6 set_offset ii false -,-
xdg_positioner request 7 set_reactive 3 false -
xdg_positioner request 8 set_parent_size 3ii false -,-
xdg_positioner request 9 set_parent_configure 3u false -
xdg_surface event 0 configure u false -
xdg_surface request 0 destroy - true -
xdg_surface request 1 get_toplevel n false xdg_toplevel
xdg_surface request 2 get_popup n?oo false xdg_popup,xdg_surface,xdg_positioner
xdg_surface request 3 set_window_geometry iiii false -,-,-,-
xdg_surface request 4 ack_configure u false -
xdg_toplevel event 0 configure iia false -,-,-
xdg_toplevel event 1 close - false -
xdg_toplevel event 2 configure_bounds 4ii false -,-
xdg_toplevel event 3 wm_capabilities 5a false -
xdg_toplevel request 0 destroy - true -
xdg_toplevel request 1 set_parent ?o false xdg_toplevel
xdg_toplevel request 10 unset_maximized - false -
xdg_toplevel request 11 set_fullscreen ?o false wl_output
xdg_toplevel request 12 unset_fullscreen - false -
xdg_toplevel request 13 set_minimized - false -
xdg_toplevel request 2 set_title s false -
xdg_toplevel request 3 set_app_id s false -
xdg_toplevel request 4 show_window_menu ouii false wl_seat,-,-,-
xdg_toplevel request 5 move ou false wl_seat,-
xdg_toplevel request 6 resize ouu false wl_seat,-,-
xdg_toplevel request 7 set_max_size ii false -,-
xdg_toplevel request 8 set_min_size ii false -,-
xdg_toplevel request 9 set_maximized - false -
xdg_toplevel_icon_manager_v1 event 0 icon_size i false -
xdg_toplevel_icon_manager_v1 event 1 done - false -
xdg_toplevel_icon_manager_v1 request 0 destroy - true -
xdg_toplevel_icon_manager_v1 request 1 create_icon n false xdg_toplevel_icon_v1
xdg_toplevel_icon_manager_v1 request 2 set_icon o?o false xdg_toplevel,xdg_toplevel_icon_v1
xdg_toplevel_icon_v1 request 0 destroy - true -
xdg_toplevel_icon_v1 request 1 set_name s false -
xdg_toplevel_icon_v1 request 2 add_buffer oi false wl_buffer,-
xdg_wm_base event 0 ping u false -
xdg_wm_base request 0 destroy - true -
xdg_wm_base request 1 create_positioner n false xdg_positioner
xdg_wm_base request 2 get_xdg_surface no false xdg_surface,wl_surface
xdg_wm_base request 3 pong u false -
zwp_confined_pointer_v1 event 0 confined - false -
zwp_confined_pointer_v1 event 1 unconfined - false -
zwp_confined_pointer_v1 request 0 destroy - true -
zwp_confined_pointer_v1 request 1 set_region ?o false wl_region
zwp_idle_inhibit_manager_v1 request 0 destroy - true -
zwp_idle_inhibit_manager_v1 request 1 create_inhibitor no false zwp_idle_inhibitor_v1,wl_surface
zwp_idle_inhibitor_v1 request 0 destroy - true -
zwp_linux_buffer_params_v1 event 0 created n false wl_buffer
zwp_linux_buffer_params_v1 event 1 failed - false -
zwp_linux_buffer_params_v1 request 0 destroy - true -
zwp_linux_buffer_params_v1 request 1 add huuuuu false -,-,-,-,-,-
zwp_linux_buffer_params_v1 request 2 create iiuu false -,-,-,-
zwp_linux_buffer_params_v1 request 3 create_immed 2niiuu false wl_buffer,-,-,-,-
zwp_linux_buffer_release_v1 event 0 fenced_release h true -
zwp_linux_buffer_release_v1 event 1 immediate_release - true -
zwp_linux_dmabuf_feedback_v1 event 0 done - false -
zwp_linux_dmabuf_feedback_v1 event 1 format_table hu false -,-
zwp_linux_dmabuf_feedback_v1 event 2 main_device a false -
zwp_linux_dmabuf_feedback_v1 event 3 tranche_done - false -
zwp_linux_dmabuf_feedback_v1 event 4 tranche_target_device a false -
zwp_linux_dmabuf_feedback_v1 event 5 tranche_formats a false -
zwp_linux_dmabuf_feedback_v1 event 6 tranche_flags u false -
zwp_linux_dmabuf_feedback_v1 request 0 destroy - true -
zwp_linux_dmabuf_v1 event 0 format u false -
zwp_linux_dmabuf_v1 event 1 modifier 3uuu false -,-,-
zwp_linux_dmabuf_v1 request 0 destroy - true -
zwp_linux_dmabuf_v1 request 1 create_params n false zwp_linux_buffer_params_v1
zwp_linux_dmabuf_v1 request 2 get_default_feedback 4n false zwp_linux_dmabuf_feedback_v1
zwp_linux_dmabuf_v1 request 3 get_surface_feedback 4no false zwp_linux_dmabuf_feedback_v1,wl_surface
zwp_linux_explicit_synchronization_v1 request 0 destroy - true -
zwp_linux_explicit_synchronization_v1 request 1 get_synchronization no false zwp_linux_surface_synchronization_v1,wl_surface
zwp_linux_surface_synchronization_v1 request 0 destroy - true -
zwp_linux_surface_synchronization_v1 request 1 set_acquire_fence h false -
zwp_linux_surface_synchronization_v1 request 2 get_release n false zwp_linux_buffer_release_v1
zwp_locked_pointer_v1 event 0 locked - false -
zwp_locked_pointer_v1 event 1 unlocked - false -
zwp_locked_pointer_v1 request 0 destroy - true -
zwp_locked_pointer_v1 request 1 set_cursor_position_hint ff false -,-
zwp_locked_pointer_v1 request 2 set_region ?o false wl_region
zwp_pointer_constraints_v1 request 0 destroy - true -
zwp_pointer_constraints_v1 request 1 lock_pointer noo?ou false zwp_locked_pointer_v1,wl_surface,wl_pointer,wl_region,-
zwp_pointer_constraints_v1 request 2 confine_pointer noo?ou false zwp_confined_pointer_v1,wl_surface,wl_pointer,wl_region,-
zwp_relative_pointer_manager_v1 request 0 destroy - true -
zwp_relative_pointer_manager_v1 request 1 get_relative_pointer no false zwp_relative_pointer_v1,wl_pointer
zwp_relative_pointer_v1 event 0 relative_motion uuffff false -,-,-,-,-,-
zwp_relative_pointer_v1 request 0 destroy - true -
zxdg_decoration_manager_v1 request 0 destroy - true -
zxdg_decoration_manager_v1 request 1 get_toplevel_decoration no false zxdg_toplevel_decoration_v1,xdg_toplevel
zxdg_toplevel_decoration_v1 event 0 configure u false -
zxdg_toplevel_decoration_v1 request 0 destroy - true -
zxdg_toplevel_decoration_v1 request 1 set_mode u false -
zxdg_toplevel_decoration_v1 request 2 unset_mode - false -
